GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gerenciamento-de-estoque,badas.dev.gerenciamento.de.estoque.service,ProdutoService,0,33,1,5,0,7,1,5,0,3
gerenciamento-de-estoque,badas.dev.gerenciamento.de.estoque,GerenciamentoDeEstoqueApplication,5,3,0,0,2,1,1,1,1,1
gerenciamento-de-estoque,badas.dev.gerenciamento.de.estoque.controller,ProdutoController,10,3,0,0,2,1,1,1,1,1
gerenciamento-de-estoque,badas.dev.gerenciamento.de.estoque.model,Produto,130,29,24,0,2,9,18,7,6,7
